Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
4,0.15,0.15,0.15,30000,2,0,ignore
4,0.17,0.17,0.17,30000,4,0,ignore
4,0.37,0.36,0.38,30000,6,0,ignore
4,0.76,0.76,0.79,30000,8,0,ignore
4,1.26,1.19,1.29,30000,10,0,ignore
4,1.10,1.05,1.12,30000,12,0,ignore
4,1.05,1.05,1.06,30000,14,0,ignore
4,1.20,1.20,1.26,30000,16,0,ignore
4,1.77,1.77,1.95,30000,18,0,ignore
4,1.57,1.55,1.57,30000,20,0,ignore
4,1.48,1.46,1.48,30000,22,0,ignore
4,1.57,1.41,1.57,30000,24,0,ignore
4,1.55,1.37,1.55,30000,26,0,ignore
4,1.43,1.31,1.43,30000,28,0,ignore
4,1.35,1.33,1.35,30000,30,0,ignore
4,1.68,1.68,1.78,30000,32,0,ignore
4,2.72,2.47,2.72,30000,34,0,ignore
4,2.27,2.18,2.27,30000,36,0,ignore
4,2.27,2.17,2.30,30000,38,0,ignore
4,2.13,2.06,2.19,30000,40,0,ignore
4,2.11,2.03,2.16,30000,42,0,ignore
4,2.23,1.97,2.23,30000,44,0,ignore
4,2.13,2.04,2.13,30000,46,0,ignore
4,2.20,2.09,2.20,30000,48,0,ignore
4,2.22,2.02,2.22,30000,50,0,ignore
4,2.07,1.97,2.07,30000,52,0,ignore
4,2.27,2.03,2.27,30000,54,0,ignore
4,2.26,2.13,2.26,30000,56,0,ignore
4,2.18,2.11,2.18,30000,58,0,ignore
4,2.01,2.01,2.06,30000,60,0,ignore
4,2.33,2.13,2.33,30000,62,0,ignore
4,1.71,1.70,1.71,30000,64,0,ignore
4,1.71,1.56,1.71,30000,66,0,ignore
4,1.99,1.91,1.99,30000,68,0,ignore
4,1.90,1.90,2.01,30000,70,0,ignore
4,2.18,2.17,2.30,30000,72,0,ignore
4,1.95,1.95,2.05,30000,74,0,ignore
4,2.40,2.21,2.40,30000,76,0,ignore
4,2.20,2.18,2.22,30000,78,0,ignore
4,2.46,2.29,2.46,30000,80,0,ignore
4,2.37,2.35,2.41,30000,82,0,ignore
4,2.46,2.46,2.58,30000,84,0,ignore
4,2.51,2.51,2.65,30000,86,0,ignore
4,2.68,2.64,2.68,30000,88,0,ignore
4,2.49,2.49,2.64,30000,90,0,ignore
4,2.83,2.61,2.83,30000,92,0,ignore
4,2.85,2.84,2.94,30000,94,0,ignore
4,2.48,2.48,2.55,30000,96,0,ignore
4,2.65,2.61,2.72,30000,98,0,ignore
4,2.55,2.53,2.63,30000,100,0,ignore
4,2.68,2.62,2.69,30000,102,0,ignore
4,2.75,2.64,2.77,30000,104,0,ignore
4,2.74,2.74,3.21,30000,106,0,ignore
4,2.93,2.93,2.95,30000,108,0,ignore
4,2.95,2.95,3.00,30000,110,0,ignore
4,2.90,2.86,2.92,30000,112,0,ignore
4,2.93,2.93,3.13,30000,114,0,ignore
4,2.85,2.73,2.86,30000,116,0,ignore
4,3.11,3.11,3.21,30000,118,0,ignore
4,3.20,3.20,3.35,30000,120,0,ignore
4,3.08,3.05,3.24,30000,122,0,ignore
4,3.40,3.22,3.40,30000,124,0,ignore
4,3.40,3.40,3.64,30000,126,0,ignore
4,2.63,2.63,3.74,30000,128,0,ignore
4,1.93,1.93,2.68,30000,130,0,ignore
4,2.10,2.10,3.01,30000,132,0,ignore
4,2.12,2.12,2.99,30000,134,0,ignore
4,2.47,2.47,3.63,30000,136,0,ignore
4,2.65,2.65,3.49,30000,138,0,ignore
4,2.45,2.45,3.58,30000,140,0,ignore
4,2.51,2.51,3.31,30000,142,0,ignore
4,2.59,2.59,3.86,30000,144,0,ignore
4,2.78,2.78,3.76,30000,146,0,ignore
