Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.15,0.15,0.15,30000,2,3,pipeline
2,0.15,0.15,0.15,30000,2,3,pipeline
4,0.15,0.15,0.15,30000,2,3,pipeline
8,0.15,0.14,0.15,30000,2,3,pipeline
16,0.16,0.15,0.16,30000,2,3,pipeline
32,0.15,0.14,0.15,30000,2,3,pipeline
64,0.15,0.15,0.15,30000,2,3,pipeline
128,0.15,0.14,0.22,30000,2,3,pipeline
256,0.16,0.15,0.23,30000,2,3,pipeline
512,0.15,0.14,0.25,30000,2,3,pipeline
1024,0.15,0.15,0.26,30000,2,3,pipeline
2048,0.14,0.14,0.31,30000,2,3,pipeline
4096,0.15,0.14,0.39,30000,2,3,pipeline
8192,0.15,0.14,0.55,30000,2,3,pipeline
16384,0.16,0.15,3.80,30000,2,3,pipeline
32768,0.15,0.15,4.31,30000,2,3,pipeline
65536,0.15,0.15,5.50,30000,2,3,pipeline
131072,0.15,0.15,10.32,30000,2,3,pipeline
262144,0.16,0.15,24.14,30000,2,3,pipeline
524288,0.15,0.14,54.07,30000,2,3,pipeline
1,0.19,0.19,0.19,30000,4,3,pipeline
2,0.19,0.19,0.19,30000,4,3,pipeline
4,0.19,0.19,0.19,30000,4,3,pipeline
8,0.19,0.19,0.19,30000,4,3,pipeline
16,0.19,0.19,0.19,30000,4,3,pipeline
32,0.19,0.19,0.19,30000,4,3,pipeline
64,0.19,0.19,0.19,30000,4,3,pipeline
128,0.19,0.19,0.33,30000,4,3,pipeline
256,0.19,0.19,0.33,30000,4,3,pipeline
512,0.19,0.19,0.37,30000,4,3,pipeline
1024,0.19,0.19,0.37,30000,4,3,pipeline
2048,0.19,0.19,0.50,30000,4,3,pipeline
4096,0.19,0.19,0.70,30000,4,3,pipeline
8192,0.19,0.19,1.10,30000,4,3,pipeline
16384,0.19,0.19,4.12,30000,4,3,pipeline
32768,0.19,0.19,5.03,30000,4,3,pipeline
65536,0.19,0.19,8.00,30000,4,3,pipeline
131072,0.19,0.19,15.97,30000,4,3,pipeline
262144,0.19,0.19,35.67,30000,4,3,pipeline
524288,0.19,0.19,76.77,30000,4,3,pipeline
1,0.71,0.71,0.71,30000,8,3,pipeline
2,0.75,0.75,0.80,30000,8,3,pipeline
4,0.72,0.72,0.80,30000,8,3,pipeline
8,0.73,0.73,0.89,30000,8,3,pipeline
16,0.73,0.73,0.91,30000,8,3,pipeline
32,0.75,0.75,0.95,30000,8,3,pipeline
64,0.71,0.71,0.97,30000,8,3,pipeline
128,0.73,0.73,1.35,30000,8,3,pipeline
256,0.73,0.73,1.44,30000,8,3,pipeline
512,0.75,0.75,1.44,30000,8,3,pipeline
1024,0.73,0.73,1.51,30000,8,3,pipeline
2048,0.75,0.75,1.87,30000,8,3,pipeline
4096,0.71,0.71,3.02,30000,8,3,pipeline
8192,0.75,0.75,4.79,30000,8,3,pipeline
16384,0.77,0.77,12.51,30000,8,3,pipeline
32768,0.73,0.73,12.87,30000,8,3,pipeline
65536,0.82,0.80,24.41,30000,8,3,pipeline
131072,0.81,0.81,49.68,30000,8,3,pipeline
262144,0.71,0.71,110.87,30000,8,3,pipeline
524288,0.77,0.77,244.26,30000,8,3,pipeline
1,1.18,1.18,1.18,30000,16,3,pipeline
2,1.16,1.16,1.19,30000,16,3,pipeline
4,1.20,1.17,1.20,30000,16,3,pipeline
8,1.22,1.18,1.24,30000,16,3,pipeline
16,1.19,1.17,1.25,30000,16,3,pipeline
32,1.23,1.17,1.34,30000,16,3,pipeline
64,1.20,1.19,1.36,30000,16,3,pipeline
128,1.19,1.18,1.91,30000,16,3,pipeline
256,1.14,1.14,1.96,30000,16,3,pipeline
512,1.23,1.22,2.06,30000,16,3,pipeline
1024,1.13,1.13,2.23,30000,16,3,pipeline
2048,1.22,1.21,2.99,30000,16,3,pipeline
4096,1.17,1.17,5.48,30000,16,3,pipeline
8192,1.19,1.19,10.18,30000,16,3,pipeline
16384,1.17,1.16,17.96,30000,16,3,pipeline
32768,1.14,1.12,28.75,30000,16,3,pipeline
65536,1.17,1.16,55.63,30000,16,3,pipeline
131072,1.19,1.17,110.12,30000,16,3,pipeline
