Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
4,0.13,0.12,0.13,30000,2,2,binomial
4,0.22,0.22,0.22,30000,4,2,binomial
4,0.38,0.38,0.38,30000,6,2,binomial
4,0.47,0.47,0.50,30000,8,2,binomial
4,0.41,0.41,0.42,30000,10,2,binomial
4,0.44,0.44,0.45,30000,12,2,binomial
4,0.45,0.44,0.45,30000,14,2,binomial
4,0.56,0.56,0.57,30000,16,2,binomial
4,0.52,0.52,0.61,30000,18,2,binomial
4,0.53,0.53,0.64,30000,20,2,binomial
4,0.51,0.51,0.57,30000,22,2,binomial
4,0.53,0.53,0.65,30000,24,2,binomial
4,0.49,0.49,0.58,30000,26,2,binomial
4,0.56,0.53,0.57,30000,28,2,binomial
4,0.53,0.53,0.62,30000,30,2,binomial
4,0.68,0.64,0.68,30000,32,2,binomial
4,0.65,0.61,0.65,30000,34,2,binomial
4,0.70,0.59,0.70,30000,36,2,binomial
4,0.68,0.59,0.68,30000,38,2,binomial
4,0.65,0.61,0.65,30000,40,2,binomial
4,0.60,0.59,0.61,30000,42,2,binomial
4,0.60,0.60,0.65,30000,44,2,binomial
4,0.59,0.59,0.64,30000,46,2,binomial
4,0.62,0.62,0.65,30000,48,2,binomial
4,0.61,0.60,0.61,30000,50,2,binomial
4,0.61,0.60,0.63,30000,52,2,binomial
4,0.60,0.59,0.63,30000,54,2,binomial
4,0.61,0.61,0.62,30000,56,2,binomial
4,0.58,0.58,0.59,30000,58,2,binomial
4,0.60,0.60,0.61,30000,60,2,binomial
4,0.60,0.60,0.61,30000,62,2,binomial
4,0.89,0.81,0.89,30000,64,2,binomial
4,0.78,0.78,0.79,30000,66,2,binomial
4,0.82,0.76,0.84,30000,68,2,binomial
4,0.93,0.76,0.93,30000,70,2,binomial
4,0.93,0.83,0.93,30000,72,2,binomial
4,0.89,0.80,0.89,30000,74,2,binomial
4,0.92,0.83,0.92,30000,76,2,binomial
4,0.93,0.84,0.93,30000,78,2,binomial
4,0.88,0.86,0.91,30000,80,2,binomial
4,0.87,0.84,0.87,30000,82,2,binomial
4,0.88,0.85,0.88,30000,84,2,binomial
4,0.87,0.84,0.87,30000,86,2,binomial
4,0.93,0.88,0.93,30000,88,2,binomial
4,0.89,0.85,0.92,30000,90,2,binomial
4,1.03,0.88,1.03,30000,92,2,binomial
4,0.92,0.86,0.92,30000,94,2,binomial
4,0.96,0.96,0.96,30000,96,2,binomial
4,0.95,0.90,1.01,30000,98,2,binomial
4,1.00,0.94,1.00,30000,100,2,binomial
4,0.94,0.91,0.98,30000,102,2,binomial
4,0.98,0.93,0.98,30000,104,2,binomial
4,0.99,0.93,0.99,30000,106,2,binomial
4,0.97,0.97,1.03,30000,108,2,binomial
4,1.08,0.93,1.08,30000,110,2,binomial
4,0.99,0.95,0.99,30000,112,2,binomial
4,1.22,0.95,1.22,30000,114,2,binomial
4,1.25,1.00,1.25,30000,116,2,binomial
4,0.95,0.95,1.01,30000,118,2,binomial
4,1.11,0.97,1.21,30000,120,2,binomial
4,1.33,1.00,1.33,30000,122,2,binomial
4,1.04,0.99,1.10,30000,124,2,binomial
4,1.14,0.98,1.19,30000,126,2,binomial
4,1.19,1.08,1.19,30000,128,2,binomial
4,0.84,0.84,1.08,30000,130,2,binomial
4,1.15,0.88,1.15,30000,132,2,binomial
4,0.84,0.84,0.98,30000,134,2,binomial
4,0.98,0.98,1.18,30000,136,2,binomial
4,1.02,0.88,1.02,30000,138,2,binomial
4,1.07,0.90,1.07,30000,140,2,binomial
4,1.16,0.87,1.16,30000,142,2,binomial
4,1.25,0.96,1.25,30000,144,2,binomial
4,1.37,1.05,1.37,30000,146,2,binomial
4,1.38,1.21,1.39,30000,148,2,binomial
4,1.56,1.28,1.56,30000,150,2,binomial
4,1.57,1.36,1.57,30000,152,2,binomial
4,1.62,1.36,1.62,30000,154,2,binomial
4,1.63,1.57,1.63,30000,156,2,binomial
4,1.59,1.41,1.61,30000,158,2,binomial
4,1.67,1.57,1.73,30000,160,2,binomial
4,2.22,1.97,2.22,30000,162,2,binomial
