Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.60,0.60,0.60,30000,256,0,ignore
2,0.60,0.60,0.61,30000,256,0,ignore
4,0.60,0.60,0.62,30000,256,0,ignore
8,0.61,0.61,0.72,30000,256,0,ignore
16,0.61,0.61,0.84,30000,256,0,ignore
32,0.61,0.61,0.85,30000,256,0,ignore
64,0.61,0.61,0.86,30000,256,0,ignore
128,0.59,0.59,1.00,30000,256,0,ignore
256,0.63,0.63,1.20,30000,256,0,ignore
512,0.62,0.62,1.61,30000,256,0,ignore
1024,0.64,0.63,2.28,30000,256,0,ignore
2048,0.61,0.61,7.52,30000,256,0,ignore
4096,0.60,0.60,15.48,30000,256,0,ignore
8192,0.61,0.61,15.32,30000,256,0,ignore
16384,0.60,0.60,25.84,30000,256,0,ignore
32768,0.61,0.61,50.81,30000,256,0,ignore
65536,0.61,0.61,90.95,30000,256,0,ignore
131072,0.60,0.60,1082.52,30000,256,0,ignore
262144,0.61,0.61,2161.75,30000,256,0,ignore
524288,0.60,0.60,4227.84,30000,256,0,ignore
