Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
4,0.15,0.14,0.15,30000,2,2,chain
4,0.18,0.18,0.18,30000,4,2,chain
4,0.38,0.37,0.38,30000,6,2,chain
4,0.75,0.75,0.82,30000,8,2,chain
4,1.21,1.12,1.21,30000,10,2,chain
4,1.10,1.01,1.10,30000,12,2,chain
4,1.05,1.05,1.07,30000,14,2,chain
4,1.19,1.19,1.20,30000,16,2,chain
4,1.81,1.81,1.90,30000,18,2,chain
4,1.50,1.50,1.67,30000,20,2,chain
4,1.49,1.49,1.58,30000,22,2,chain
4,1.46,1.46,1.62,30000,24,2,chain
4,1.40,1.34,1.45,30000,26,2,chain
4,1.46,1.40,1.48,30000,28,2,chain
4,1.29,1.27,1.34,30000,30,2,chain
4,1.69,1.63,1.69,30000,32,2,chain
4,2.60,2.60,2.64,30000,34,2,chain
4,2.26,2.19,2.26,30000,36,2,chain
4,2.30,2.20,2.30,30000,38,2,chain
4,2.23,2.05,2.23,30000,40,2,chain
4,2.03,2.03,2.14,30000,42,2,chain
4,1.99,1.97,2.11,30000,44,2,chain
4,2.17,2.06,2.18,30000,46,2,chain
4,2.19,2.09,2.19,30000,48,2,chain
4,2.17,2.00,2.17,30000,50,2,chain
4,2.08,2.06,2.08,30000,52,2,chain
4,2.20,2.07,2.20,30000,54,2,chain
4,2.11,2.02,2.11,30000,56,2,chain
4,2.05,2.05,2.14,30000,58,2,chain
4,2.02,1.99,2.06,30000,60,2,chain
4,2.14,2.07,2.14,30000,62,2,chain
4,1.69,1.69,1.71,30000,64,2,chain
4,1.54,1.54,1.65,30000,66,2,chain
4,1.96,1.90,1.96,30000,68,2,chain
4,1.95,1.95,2.01,30000,70,2,chain
4,2.13,2.03,2.13,30000,72,2,chain
4,1.87,1.87,1.97,30000,74,2,chain
4,2.34,2.16,2.34,30000,76,2,chain
4,2.33,2.26,2.33,30000,78,2,chain
4,2.22,2.22,2.37,30000,80,2,chain
4,2.37,2.23,2.40,30000,82,2,chain
4,2.51,2.42,2.51,30000,84,2,chain
4,2.45,2.45,2.52,30000,86,2,chain
4,2.73,2.58,2.73,30000,88,2,chain
4,2.69,2.67,2.69,30000,90,2,chain
4,2.88,2.70,2.88,30000,92,2,chain
4,2.93,2.93,3.04,30000,94,2,chain
4,2.62,2.41,2.77,30000,96,2,chain
4,2.48,2.48,2.66,30000,98,2,chain
4,2.50,2.50,2.52,30000,100,2,chain
4,2.63,2.63,2.81,30000,102,2,chain
4,2.72,2.62,2.72,30000,104,2,chain
4,2.66,2.66,2.83,30000,106,2,chain
4,2.95,2.92,3.00,30000,108,2,chain
4,3.02,3.00,3.03,30000,110,2,chain
4,2.74,2.74,3.00,30000,112,2,chain
4,2.89,2.89,3.03,30000,114,2,chain
4,3.01,2.97,3.30,30000,116,2,chain
4,3.29,3.18,3.33,30000,118,2,chain
4,3.35,3.18,3.39,30000,120,2,chain
4,3.20,3.20,3.27,30000,122,2,chain
4,3.29,3.20,3.32,30000,124,2,chain
4,3.45,3.27,3.45,30000,126,2,chain
4,2.64,2.64,3.82,30000,128,2,chain
4,1.89,1.89,2.86,30000,130,2,chain
4,2.15,2.15,3.02,30000,132,2,chain
4,2.15,2.15,2.89,30000,134,2,chain
4,2.61,2.61,3.67,30000,136,2,chain
4,2.65,2.65,3.67,30000,138,2,chain
4,2.80,2.80,3.45,30000,140,2,chain
4,2.67,2.67,3.28,30000,142,2,chain
4,2.80,2.80,3.85,30000,144,2,chain
4,2.94,2.94,3.72,30000,146,2,chain
4,3.10,3.10,3.69,30000,148,2,chain
4,3.51,3.51,3.79,30000,150,2,chain
4,3.27,3.27,4.32,30000,152,2,chain
4,3.30,3.30,4.36,30000,154,2,chain
4,3.64,3.64,4.65,30000,156,2,chain
4,4.11,4.11,5.05,30000,158,2,chain
4,4.67,4.67,5.86,30000,160,2,chain
4,4.81,4.81,6.32,30000,162,2,chain
4,5.40,5.40,7.01,30000,164,2,chain
4,5.87,5.87,7.35,30000,166,2,chain
4,6.27,6.27,7.76,30000,168,2,chain
4,6.71,6.71,7.59,30000,170,2,chain
4,6.47,6.47,7.54,30000,172,2,chain
4,6.78,6.78,7.48,30000,174,2,chain
4,4.46,4.46,6.13,30000,176,2,chain
4,4.96,4.96,6.17,30000,178,2,chain
4,5.31,5.31,6.72,30000,180,2,chain
4,5.44,5.44,6.70,30000,182,2,chain
4,5.50,5.50,6.84,30000,184,2,chain
4,5.91,5.91,7.24,30000,186,2,chain
4,6.54,6.54,7.54,30000,188,2,chain
4,6.47,6.47,8.02,30000,190,2,chain
4,5.59,5.59,7.91,30000,192,2,chain
4,6.42,6.42,8.38,30000,194,2,chain
4,6.91,6.91,8.89,30000,196,2,chain
4,7.50,7.50,9.30,30000,198,2,chain
4,8.20,8.20,9.95,30000,200,2,chain
