Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.15,0.15,0.15,30000,2,5,binary_tree
2,0.15,0.15,0.15,30000,2,5,binary_tree
4,0.15,0.15,0.15,30000,2,5,binary_tree
8,0.17,0.16,0.17,30000,2,5,binary_tree
16,0.15,0.15,0.15,30000,2,5,binary_tree
32,0.15,0.15,0.15,30000,2,5,binary_tree
64,0.15,0.15,0.16,30000,2,5,binary_tree
128,0.15,0.15,0.22,30000,2,5,binary_tree
256,0.15,0.14,0.22,30000,2,5,binary_tree
512,0.15,0.15,0.24,30000,2,5,binary_tree
1024,0.15,0.15,0.23,30000,2,5,binary_tree
2048,0.15,0.15,0.31,30000,2,5,binary_tree
4096,0.16,0.15,0.38,30000,2,5,binary_tree
8192,0.15,0.15,0.57,30000,2,5,binary_tree
16384,0.15,0.15,3.79,30000,2,5,binary_tree
32768,0.15,0.15,4.31,30000,2,5,binary_tree
65536,0.15,0.14,6.68,30000,2,5,binary_tree
131072,0.15,0.15,9.60,30000,2,5,binary_tree
262144,0.15,0.15,22.74,30000,2,5,binary_tree
524288,0.15,0.14,49.70,30000,2,5,binary_tree
1,0.18,0.18,0.18,30000,4,5,binary_tree
2,0.18,0.18,0.18,30000,4,5,binary_tree
4,0.17,0.17,0.18,30000,4,5,binary_tree
8,0.18,0.18,0.18,30000,4,5,binary_tree
16,0.17,0.17,0.18,30000,4,5,binary_tree
32,0.18,0.17,0.18,30000,4,5,binary_tree
64,0.17,0.17,0.18,30000,4,5,binary_tree
128,0.18,0.18,0.32,30000,4,5,binary_tree
256,0.17,0.17,0.32,30000,4,5,binary_tree
512,0.18,0.18,0.35,30000,4,5,binary_tree
1024,0.17,0.17,0.37,30000,4,5,binary_tree
2048,0.18,0.18,0.50,30000,4,5,binary_tree
4096,0.18,0.17,0.70,30000,4,5,binary_tree
8192,0.18,0.18,1.09,30000,4,5,binary_tree
16384,0.18,0.18,4.09,30000,4,5,binary_tree
32768,0.18,0.18,5.05,30000,4,5,binary_tree
65536,0.18,0.17,8.03,30000,4,5,binary_tree
131072,0.17,0.17,16.46,30000,4,5,binary_tree
262144,0.18,0.18,36.02,30000,4,5,binary_tree
524288,0.18,0.18,83.55,30000,4,5,binary_tree
1,0.73,0.73,0.73,30000,8,5,binary_tree
2,0.78,0.78,0.83,30000,8,5,binary_tree
4,0.75,0.75,0.81,30000,8,5,binary_tree
8,0.80,0.80,0.88,30000,8,5,binary_tree
16,0.79,0.78,0.86,30000,8,5,binary_tree
32,0.72,0.72,0.99,30000,8,5,binary_tree
64,0.77,0.77,0.98,30000,8,5,binary_tree
128,0.77,0.75,1.30,30000,8,5,binary_tree
256,0.78,0.78,1.36,30000,8,5,binary_tree
512,0.75,0.75,1.44,30000,8,5,binary_tree
1024,0.75,0.75,1.51,30000,8,5,binary_tree
2048,0.73,0.73,1.88,30000,8,5,binary_tree
4096,0.80,0.78,2.97,30000,8,5,binary_tree
8192,0.79,0.75,4.86,30000,8,5,binary_tree
16384,0.74,0.74,12.37,30000,8,5,binary_tree
32768,0.73,0.73,12.63,30000,8,5,binary_tree
65536,0.79,0.77,25.44,30000,8,5,binary_tree
131072,0.77,0.77,51.18,30000,8,5,binary_tree
262144,0.80,0.78,117.78,30000,8,5,binary_tree
524288,0.78,0.78,251.48,30000,8,5,binary_tree
1,1.21,1.21,1.21,30000,16,5,binary_tree
2,1.17,1.17,1.18,30000,16,5,binary_tree
4,1.29,1.23,1.29,30000,16,5,binary_tree
8,1.24,1.21,1.35,30000,16,5,binary_tree
16,1.20,1.20,1.26,30000,16,5,binary_tree
32,1.19,1.19,1.33,30000,16,5,binary_tree
64,1.23,1.18,1.35,30000,16,5,binary_tree
128,1.21,1.21,1.94,30000,16,5,binary_tree
256,1.19,1.19,2.07,30000,16,5,binary_tree
512,1.15,1.15,2.20,30000,16,5,binary_tree
1024,1.22,1.21,2.26,30000,16,5,binary_tree
2048,1.15,1.15,2.94,30000,16,5,binary_tree
4096,1.41,1.24,5.36,30000,16,5,binary_tree
8192,1.23,1.20,10.17,30000,16,5,binary_tree
16384,1.20,1.20,18.56,30000,16,5,binary_tree
32768,1.17,1.17,31.29,30000,16,5,binary_tree
65536,1.19,1.19,59.68,30000,16,5,binary_tree
131072,1.22,1.20,117.30,30000,16,5,binary_tree
262144,1.30,1.18,235.95,30000,16,5,binary_tree
524288,1.25,1.25,473.79,30000,16,5,binary_tree
1,1.66,1.66,1.66,30000,32,5,binary_tree
2,1.64,1.62,1.64,30000,32,5,binary_tree
4,1.67,1.64,1.68,30000,32,5,binary_tree
8,1.69,1.63,1.74,30000,32,5,binary_tree
16,1.58,1.58,1.59,30000,32,5,binary_tree
32,1.65,1.62,1.87,30000,32,5,binary_tree
64,1.60,1.55,1.87,30000,32,5,binary_tree
128,1.79,1.54,2.55,30000,32,5,binary_tree
256,1.79,1.56,2.60,30000,32,5,binary_tree
512,1.66,1.58,2.93,30000,32,5,binary_tree
1024,1.61,1.57,3.21,30000,32,5,binary_tree
2048,1.71,1.66,4.28,30000,32,5,binary_tree
4096,1.63,1.60,5.88,30000,32,5,binary_tree
8192,1.62,1.56,8.91,30000,32,5,binary_tree
16384,1.66,1.57,16.16,30000,32,5,binary_tree
32768,1.60,1.57,27.16,30000,32,5,binary_tree
65536,1.72,1.56,52.55,30000,32,5,binary_tree
131072,1.68,1.61,112.23,30000,32,5,binary_tree
262144,1.77,1.63,233.91,30000,32,5,binary_tree
