Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
4,0.14,0.13,0.14,30000,2,1,basic_linear
4,0.18,0.18,0.18,30000,4,1,basic_linear
4,0.33,0.32,0.33,30000,6,1,basic_linear
4,0.35,0.35,0.37,30000,8,1,basic_linear
4,0.29,0.29,0.29,30000,10,1,basic_linear
4,0.27,0.27,0.28,30000,12,1,basic_linear
4,0.46,0.46,0.47,30000,14,1,basic_linear
4,0.73,0.73,0.75,30000,16,1,basic_linear
4,0.75,0.75,0.77,30000,18,1,basic_linear
4,0.66,0.65,0.66,30000,20,1,basic_linear
4,0.75,0.75,0.78,30000,22,1,basic_linear
4,0.70,0.70,0.74,30000,24,1,basic_linear
4,0.85,0.84,0.89,30000,26,1,basic_linear
4,0.89,0.89,0.93,30000,28,1,basic_linear
4,1.10,1.07,1.10,30000,30,1,basic_linear
4,1.36,1.36,1.37,30000,32,1,basic_linear
4,1.38,1.37,1.39,30000,34,1,basic_linear
4,1.23,1.23,1.23,30000,36,1,basic_linear
4,1.31,1.27,1.31,30000,38,1,basic_linear
4,1.28,1.28,1.29,30000,40,1,basic_linear
4,1.43,1.32,1.43,30000,42,1,basic_linear
4,1.29,1.21,1.29,30000,44,1,basic_linear
4,1.37,1.30,1.37,30000,46,1,basic_linear
4,1.35,1.27,1.35,30000,48,1,basic_linear
4,1.54,1.49,1.54,30000,50,1,basic_linear
4,1.55,1.51,1.56,30000,52,1,basic_linear
4,1.75,1.73,1.75,30000,54,1,basic_linear
4,1.87,1.84,1.87,30000,56,1,basic_linear
4,1.97,1.85,1.97,30000,58,1,basic_linear
4,2.25,2.23,2.25,30000,60,1,basic_linear
4,2.52,2.52,2.52,30000,62,1,basic_linear
4,2.61,2.61,2.62,30000,64,1,basic_linear
4,3.02,2.97,3.02,30000,66,1,basic_linear
4,3.07,3.07,3.13,30000,68,1,basic_linear
4,3.50,3.50,3.54,30000,70,1,basic_linear
4,3.52,3.52,3.52,30000,72,1,basic_linear
4,3.72,3.72,3.88,30000,74,1,basic_linear
4,3.92,3.86,3.92,30000,76,1,basic_linear
4,4.27,4.10,4.27,30000,78,1,basic_linear
4,4.18,4.18,4.20,30000,80,1,basic_linear
4,4.53,4.36,4.53,30000,82,1,basic_linear
4,4.61,4.51,4.61,30000,84,1,basic_linear
4,5.04,4.88,5.04,30000,86,1,basic_linear
4,4.90,4.89,4.90,30000,88,1,basic_linear
4,4.81,4.81,5.06,30000,90,1,basic_linear
4,5.41,5.41,5.46,30000,92,1,basic_linear
4,5.66,5.36,5.66,30000,94,1,basic_linear
4,5.46,5.46,5.52,30000,96,1,basic_linear
4,5.80,5.61,5.81,30000,98,1,basic_linear
4,5.92,5.92,5.95,30000,100,1,basic_linear
4,6.34,6.26,6.34,30000,102,1,basic_linear
4,6.23,6.23,6.34,30000,104,1,basic_linear
4,6.75,6.75,7.12,30000,106,1,basic_linear
4,6.96,6.72,6.96,30000,108,1,basic_linear
4,7.35,7.18,7.35,30000,110,1,basic_linear
4,7.25,7.21,8.69,30000,112,1,basic_linear
4,7.86,7.35,7.86,30000,114,1,basic_linear
4,7.85,7.75,7.91,30000,116,1,basic_linear
4,8.11,8.05,8.11,30000,118,1,basic_linear
4,8.08,8.08,8.21,30000,120,1,basic_linear
4,7.50,7.50,8.07,30000,122,1,basic_linear
4,8.01,8.01,8.20,30000,124,1,basic_linear
4,8.09,8.09,8.18,30000,126,1,basic_linear
4,8.07,8.05,8.11,30000,128,1,basic_linear
4,7.61,7.59,7.68,30000,130,1,basic_linear
4,7.40,7.40,7.60,30000,132,1,basic_linear
4,7.32,7.32,7.47,30000,134,1,basic_linear
4,7.24,7.24,7.41,30000,136,1,basic_linear
4,7.04,7.04,7.14,30000,138,1,basic_linear
4,6.99,6.99,7.04,30000,140,1,basic_linear
4,6.80,6.80,6.91,30000,142,1,basic_linear
4,6.85,6.85,6.97,30000,144,1,basic_linear
4,6.65,6.65,6.70,30000,146,1,basic_linear
4,6.18,6.18,6.26,30000,148,1,basic_linear
4,5.89,5.89,5.98,30000,150,1,basic_linear
4,5.60,5.59,5.61,30000,152,1,basic_linear
4,5.29,5.29,5.37,30000,154,1,basic_linear
4,4.98,4.98,5.06,30000,156,1,basic_linear
4,4.90,4.90,4.93,30000,158,1,basic_linear
4,4.58,4.57,4.69,30000,160,1,basic_linear
4,4.22,4.22,4.27,30000,162,1,basic_linear
4,3.61,3.60,3.67,30000,164,1,basic_linear
4,3.36,3.31,3.36,30000,166,1,basic_linear
4,3.20,3.20,3.25,30000,168,1,basic_linear
4,3.24,3.24,3.25,30000,170,1,basic_linear
4,3.10,3.09,3.12,30000,172,1,basic_linear
4,3.07,3.04,3.07,30000,174,1,basic_linear
4,2.92,2.85,2.92,30000,176,1,basic_linear
4,2.85,2.84,2.86,30000,178,1,basic_linear
4,2.57,2.55,2.57,30000,180,1,basic_linear
4,2.55,2.54,2.63,30000,182,1,basic_linear
4,2.34,2.34,2.35,30000,184,1,basic_linear
4,2.37,2.37,2.38,30000,186,1,basic_linear
4,2.22,2.22,2.23,30000,188,1,basic_linear
4,2.29,2.29,2.31,30000,190,1,basic_linear
4,2.16,2.16,2.22,30000,192,1,basic_linear
4,2.23,2.23,2.29,30000,194,1,basic_linear
4,2.13,2.13,2.19,30000,196,1,basic_linear
4,2.21,2.21,2.26,30000,198,1,basic_linear
4,2.09,2.09,2.15,30000,200,1,basic_linear
4,2.16,2.16,2.24,30000,202,1,basic_linear
4,2.06,2.06,2.14,30000,204,1,basic_linear
4,2.17,2.17,2.24,30000,206,1,basic_linear
4,2.08,2.08,2.18,30000,208,1,basic_linear
4,2.18,2.15,2.21,30000,210,1,basic_linear
4,2.00,2.00,2.10,30000,212,1,basic_linear
4,2.02,2.02,2.11,30000,214,1,basic_linear
4,1.89,1.89,1.98,30000,216,1,basic_linear
4,1.94,1.94,2.00,30000,218,1,basic_linear
4,1.84,1.84,1.88,30000,220,1,basic_linear
4,1.85,1.85,1.89,30000,222,1,basic_linear
4,1.76,1.76,1.82,30000,224,1,basic_linear
4,1.80,1.80,1.87,30000,226,1,basic_linear
4,1.76,1.76,1.80,30000,228,1,basic_linear
4,1.89,1.89,1.96,30000,230,1,basic_linear
4,1.89,1.89,2.00,30000,232,1,basic_linear
4,1.96,1.96,2.07,30000,234,1,basic_linear
4,1.93,1.93,2.03,30000,236,1,basic_linear
4,2.04,2.04,2.18,30000,238,1,basic_linear
4,1.98,1.98,2.17,30000,240,1,basic_linear
4,1.96,1.96,2.09,30000,242,1,basic_linear
4,1.83,1.83,1.98,30000,244,1,basic_linear
4,1.91,1.91,2.07,30000,246,1,basic_linear
4,1.84,1.84,2.04,30000,248,1,basic_linear
4,1.86,1.86,2.03,30000,250,1,basic_linear
4,1.78,1.78,1.94,30000,252,1,basic_linear
4,1.80,1.80,2.07,30000,254,1,basic_linear
4,4.14,4.08,4.14,30000,256,1,basic_linear
