Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.12,0.12,0.12,30000,2,1,basic_linear
2,0.12,0.12,0.13,30000,2,1,basic_linear
4,0.13,0.12,0.13,30000,2,1,basic_linear
8,0.12,0.12,0.12,30000,2,1,basic_linear
16,0.13,0.12,0.13,30000,2,1,basic_linear
32,0.12,0.12,0.14,30000,2,1,basic_linear
64,0.12,0.12,0.15,30000,2,1,basic_linear
128,0.12,0.12,0.18,30000,2,1,basic_linear
256,0.13,0.12,0.19,30000,2,1,basic_linear
512,0.12,0.12,0.23,30000,2,1,basic_linear
1024,0.12,0.12,0.24,30000,2,1,basic_linear
2048,0.12,0.12,0.28,30000,2,1,basic_linear
4096,0.12,0.12,0.39,30000,2,1,basic_linear
8192,0.12,0.12,0.56,30000,2,1,basic_linear
16384,0.13,0.12,0.88,30000,2,1,basic_linear
32768,0.12,0.12,1.59,30000,2,1,basic_linear
65536,0.12,0.12,2.98,30000,2,1,basic_linear
131072,0.12,0.12,5.82,30000,2,1,basic_linear
262144,0.12,0.12,42.22,30000,2,1,basic_linear
524288,0.12,0.12,80.34,30000,2,1,basic_linear
1,0.19,0.19,0.19,30000,4,1,basic_linear
2,0.20,0.20,0.20,30000,4,1,basic_linear
4,0.19,0.19,0.19,30000,4,1,basic_linear
8,0.19,0.19,0.20,30000,4,1,basic_linear
16,0.19,0.19,0.19,30000,4,1,basic_linear
32,0.19,0.19,0.20,30000,4,1,basic_linear
64,0.20,0.19,0.20,30000,4,1,basic_linear
128,0.20,0.20,0.26,30000,4,1,basic_linear
256,0.19,0.19,0.27,30000,4,1,basic_linear
512,0.19,0.19,0.28,30000,4,1,basic_linear
1024,0.19,0.19,0.30,30000,4,1,basic_linear
2048,0.20,0.19,0.36,30000,4,1,basic_linear
4096,0.19,0.19,0.49,30000,4,1,basic_linear
8192,0.20,0.19,0.78,30000,4,1,basic_linear
16384,0.20,0.19,1.32,30000,4,1,basic_linear
32768,0.20,0.19,2.38,30000,4,1,basic_linear
65536,0.19,0.19,4.37,30000,4,1,basic_linear
131072,0.20,0.20,9.06,30000,4,1,basic_linear
262144,0.19,0.19,62.67,30000,4,1,basic_linear
524288,0.20,0.19,119.77,30000,4,1,basic_linear
1,0.37,0.37,0.37,30000,8,1,basic_linear
2,0.37,0.37,0.37,30000,8,1,basic_linear
4,0.35,0.35,0.38,30000,8,1,basic_linear
8,0.34,0.34,0.37,30000,8,1,basic_linear
16,0.36,0.36,0.37,30000,8,1,basic_linear
32,0.37,0.37,0.38,30000,8,1,basic_linear
64,0.35,0.35,0.37,30000,8,1,basic_linear
